timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
160000,98.7329941,0.254333109,0.832119882,31.4159088,0.017327759,64.7017441,0.011828093,79.9686813,0.01046498,0.06955184,75.555748,0.243097082,0.000275932,1.95E-06,0.07369189,0.002514717,57.6762314,0.019706622,16.8773193,0.908278406,0.349429935,1.03169632,-99.0927124,69.2787857,2.12974072,-0.221176386,3.54071188,-6.87491941,258.223846,173.816635,110.953773,16.098959,1600.4397
160071.422,98.7535858,0.227972984,0.673248291,34.0146484,0.019886971,52.0722656,0.008718967,79.4880981,0.008457184,0.112960815,72.7041016,0.374420166,0.000389874,1.99E-06,0.065080643,0.002205968,56.6472168,0.026311874,19.1030273,0.681762695,0.366504669,1.04990387,-98.6616211,72.3925781,2.12876225,-0.137878418,2.33679199,-7.32702637,271.660156,173.686768,111.213623,15.6813984,1574.21777
160142.859,98.6876526,0.236228943,0.533050537,36.8574219,0.016319275,43.2924805,0.006880283,79.1870117,0.006839752,0.267333984,68.8613281,0.572540283,0.000487566,2.00E-06,0.065504074,0.001883328,54.3916016,0.036453247,21.6679688,0.481658936,0.3865242,1.03636169,-97.9423828,75.871582,2.12700701,-0.225341797,3.09619141,-7.15869141,276.388672,173.599854,111.046387,15.8604736,1585.12598
160214.281,98.5189209,0.211448669,0.459007263,37.0889893,0.009256482,40.123291,0.006811738,79.1608887,0.005726814,0.384750366,63.3457031,0.678588867,0.000255764,2.02E-06,0.05870676,0.001693636,51.3183594,0.043869972,19.34375,0.368530273,0.387881279,0.814117432,-97.0603027,76.1391602,2.12541699,-0.194335938,2.95654297,-7.16958618,253.828125,174.325684,111.004639,15.9924316,1593.10938
160285.719,98.7410889,0.204547882,0.434835434,34.2216797,0.008286476,40.3505859,0.008398533,78.4980469,0.005301952,0.523353577,61.5878906,0.935852051,9.51E-05,2.45E-06,0.058670044,0.001805782,49.3476562,0.037292481,14.5693359,0.406005859,0.367736816,0.630523682,-96.3043213,71.25,2.12256598,-0.176025391,3.234375,-6.50500488,240.96875,173.983887,111.10907,15.7066956,1572.03906
160357.141,98.6905518,0.193969727,0.448757172,27.9570312,0.003312111,42.3431396,0.010567188,82.6933594,0.004662991,0.568954468,70.8417969,1.0530901,7.29E-05,2.88E-06,0.059542656,0.002622604,52.7265625,0.017093658,13.0349121,0.894287109,0.32711792,0.666778564,-95.8856201,68.1523438,2.12206531,0.238769531,1.86157227,-6.84521484,210.878906,175.347656,110.41748,16.2653809,1579.89844
160428.578,98.5894775,0.193546295,0.477050781,21.4746094,0.004452705,41.288208,0.013897896,89.1279297,0.005824804,0.152862549,82.4746094,0.759216309,3.89E-05,3.19E-06,0.055234909,0.004013777,56.609375,0.007490158,12.6745605,2.22729492,0.289733887,0.777313232,-95.736084,68.0693359,2.12914848,0.74609375,2.16052246,-3.31445312,194.71875,175.840088,109.449463,16.6445312,1604.875
160500,98.3518066,0.171985626,0.529075623,17.0043945,0.036743164,42.8710938,0.013436794,89.1640625,0.00796032,0.034629822,90.4316406,0.278930664,2.51E-05,3.32E-06,0.068080902,0.005339384,59.0412598,0.00413394,10.7617188,4.03393555,0.266765594,0.862640381,-96.1989746,63.7573242,2.12961102,1.52587891,2.91650391,-5.00097656,188.460938,174.803711,108.74707,16.2980042,1608.48438
160571.422,98.6902924,0.140426636,0.532077789,15.1706543,0.113941193,52.2109375,0.010549545,84.8203125,0.013098717,0.007040024,93.8129883,0.044067383,1.33E-05,3.29E-06,0.110092163,0.006024241,61.2314453,0.003239393,8.76464844,5.16577148,0.258910179,0.904830933,-97.3319092,65.5112305,2.13006806,0.261962891,3.42260742,-7.10546875,150.59375,173.113037,108.011719,16.6668701,1619.03125
160642.859,98.7187653,0.093476296,0.520293236,14.1286621,0.218811035,65.9648438,0.007179737,71.1289062,0.024147034,0.002198935,95.8879395,0.00464344,2.55E-05,3.12E-06,0.168060303,0.006474018,63.6279297,0.002800822,5.33105469,5.97485352,0.255477905,0.935855865,-98.2972412,67.1603546,2.13226891,-0.24621582,3.66210938,-9.33935547,186.070312,170.648682,107.823975,16.4803467,1635.8125
