TimeStamp,Alpha_TP9,Alpha_FP1,Alpha_FP2,Alpha_TP10,Beta_TP9,Beta_FP1,Beta_FP2,Beta_TP10,Delta_TP9,Delta_FP1,Delta_FP2,Delta_TP10,Gamma_TP9,Gamma_FP1,Gamma_FP2,Gamma_TP10,Theta_TP9,Theta_FP1,Theta_FP2,Theta_TP10,Mellow,Concentration,RAW_TP9,RAW_FP1,RAW_FP2,RAW_TP10
2016-05-26 20:40:44,0.49439803,-0.7066643,-0.66280633,0.34759834,0.5477794,-0.25156936,-0.44077685,0.49353707,-0.7012897,-0.8009056,-0.92446256,-0.53365916,0.20237462,-0.36579964,-0.7637371,0.6560049,-0.38732705,-0.6568688,-0.6042013,-0.043085475,1.0,-1.0,847.16486,842.2299,812.6203,832.36005
2016-05-26 20:40:45,0.41881287,-0.66255677,-0.66502404,0.34759834,0.32401186,-0.29653916,-0.47874603,0.49353707,-0.24284609,-1.0244055,-0.8120482,-0.53365916,0.12693968,-0.3301121,-0.71198523,0.6560049,-0.15421984,-0.8778734,-0.93885887,-0.043085475,1.0,-1.0,852.0998,852.0998,820.8452,799.46045
2016-05-26 20:40:46,0.2786511,-0.7106307,-0.9151884,0.34759834,0.3909856,-0.3917494,-0.56231195,0.49353707,0.15418993,-1.2164798,-0.83457476,-0.53365916,0.1295347,-0.23779424,-0.7060787,0.6560049,0.05365364,-0.66976357,-0.78182566,-0.043085475,0.83410424,-1.0,873.48456,834.005,820.8452,812.6203
2016-05-26 20:40:47,0.25171763,-0.6152461,-0.7504302,0.5963329,0.42886814,-0.16849457,-0.55950475,0.37881517,0.096718445,-1.0420121,-0.9465566,-0.11817461,0.33504534,-0.24562186,-0.5925925,0.4328506,0.021922976,-0.89666724,-1.1613789,-0.08218021,0.9826015,-1.0,837.295,834.005,815.9103,784.65564
2016-05-26 20:40:48,0.25171763,-0.547854,-0.9007047,0.5170055,0.42927936,-0.1538054,-0.5643174,0.40991065,-0.04349209,-0.8948149,-1.1037661,0.017156394,0.36134198,-0.37252688,-0.52812463,0.43577152,0.062738076,-0.7488405,-1.064469,-0.04893008,0.9760391,-0.9154241,832.36005,829.07007,814.26526,794.5255
2016-05-26 20:40:49,0.4490708,-0.39017802,-0.39719275,0.5170055,0.51295155,-0.18383618,-0.30549297,0.40991065,-0.5583869,-1.2793841,-0.6297398,0.017156394,0.39652252,-0.2718666,-0.47753406,0.43577152,-0.4331004,-0.74452335,-0.9166038,-0.04893008,1.0,-0.713398,847.16486,830.7151,822.4902,809.3303
2016-05-26 20:40:50,0.4490708,-0.3783885,-0.32098788,0.5170055,0.5248536,-0.014276321,-0.17421891,0.40991065,-0.5933965,-1.1229653,-0.89343935,0.017156394,0.40760243,-0.27266842,-0.51180345,0.43577152,-0.47251776,-0.60704434,-0.6789996,-0.04893008,1.0,-0.596498,815.9103,829.07007,820.8452,835.65
2016-05-26 20:40:51,0.4490708,-0.40248805,-0.8163943,0.5170055,0.5248536,-0.25337377,-0.3535901,0.40991065,-0.5933965,-0.85058427,-0.7587905,0.017156394,0.40760243,-0.21402775,-0.5142738,0.43577152,-0.47251776,-0.739549,-1.0059806,-0.04893008,1.0,-0.596498,842.2299,817.55524,820.8452,840.58496
2016-05-26 20:40:52,0.4490708,-0.5833032,-0.5498867,0.5170055,0.5248536,-0.39571062,-0.5070925,0.40991065,-0.5933965,-0.82037765,-0.56195647,0.017156394,0.40760243,-0.38101113,-0.6823172,0.43577152,-0.47251776,-0.95702136,-0.8058587,-0.04893008,1.0,-0.596498,855.3898,837.295,820.8452,916.254
2016-05-26 20:40:53,0.4490708,-0.3954025,-0.6020368,0.5170055,0.5248536,-0.2948861,-0.4447596,0.40991065,-0.5933965,-0.72204554,-0.6777451,0.017156394,0.40760243,-0.28327888,-0.5649565,0.43577152,-0.47251776,-0.7606116,-0.837133,-0.04893008,1.0,-0.4750055,822.4902,829.07007,815.9103,822.4902
2016-05-26 20:40:54,0.55073774,-0.6677513,-0.53818005,0.5170055,0.56075346,-0.38186675,-0.2600444,0.40991065,-0.2212575,-1.1373647,-0.98903805,0.017156394,0.499649,-0.1658062,-0.50044423,0.43577152,-0.1925731,-1.229336,-1.0524168,-0.04893008,1.0,-0.16327216,840.58496,834.005,824.13513,797.8155
2016-05-26 20:40:56,0.55073774,-0.7909996,-0.49471694,0.5170055,0.56075346,-0.2823496,-0.32446668,0.40991065,-0.2212575,-0.9913513,-1.0907764,0.017156394,0.499649,-0.26868853,-0.5769123,0.43577152,-0.1925731,-0.7524378,-0.8689865,-0.04893008,1.0,0.07052784,835.65,842.2299,824.13513,797.8155
2016-05-26 20:40:57,0.27609885,-0.56712747,-0.5552841,0.5170055,0.49127564,-0.2873216,-0.30979553,0.40991065,-0.26023778,-1.4897393,-0.8910159,0.017156394,0.6076804,-0.38626173,-0.6043313,0.43577152,-0.17418621,-1.0350277,-0.9672938,-0.04893008,0.92940456,0.23752783,837.295,832.36005,817.55524,784.65564
2016-05-26 20:40:58,0.3978039,-0.4165132,-0.7672836,0.5170055,0.49640745,-0.059193227,-0.21655548,0.40991065,-0.10535213,-0.83489245,-0.8766787,0.017156394,0.4930132,-0.44346198,-0.6030767,0.43577152,0.051070116,-0.7463224,-0.5957441,-0.04893008,1.0,0.59805137,842.2299,820.8452,814.26526,787.94556
2016-05-26 20:40:59,0.4780071,-0.45692036,-0.7137385,0.5170055,0.44488767,-0.22410084,-0.40924552,0.40991065,-0.013551264,-0.84635574,-1.0280795,0.017156394,0.3102306,-0.34123874,-0.42888173,0.43577152,0.11883034,-0.57610756,-0.722742,-0.04893008,1.0,0.51726025,812.6203,829.07007,815.9103,792.88055
2016-05-26 20:41:00,0.38166475,-0.5744005,-0.42889488,0.5170055,0.4651295,-0.3231007,-0.424695,0.40991065,0.031177752,-1.0266193,-0.9952535,0.017156394,0.20561716,-0.247854,-0.61522114,0.43577152,0.17356928,-0.71235245,-0.85339713,-0.04893008,1.0,0.33811483,840.58496,838.94,812.6203,832.36005
2016-05-26 20:41:01,0.19661297,-0.30211762,-0.469213,0.5170055,0.41820377,-0.2495689,-0.39930952,0.40991065,-0.23754553,-0.8786625,-1.1836764,0.017156394,0.28528085,-0.36028185,-0.55374163,0.43577152,-0.09068142,-0.65702105,-0.6766867,-0.04893008,0.77741766,0.17737733,830.7151,827.4251,812.6203,840.58496
2016-05-26 20:41:02,0.2954956,-0.39738208,-0.6047774,0.5170055,0.33645007,-0.32812494,-0.28424546,0.40991065,-0.11131636,-1.1778378,-0.86812454,0.017156394,0.2749806,-0.31647068,-0.5781604,0.43577152,-0.018054718,-0.7725412,-0.66859245,-0.04893008,0.54822516,-0.096085176,827.4251,834.005,815.9103,824.13513
2016-05-26 20:41:03,0.37928894,-0.60440415,-0.62192035,0.5170055,0.44138724,-0.3593016,-0.38944843,0.40991065,0.25387776,-1.0177844,-0.7983104,0.017156394,0.26810005,-0.36631882,-0.6551214,0.43577152,-0.07986694,-0.83224434,-0.904178,-0.04893008,0.48064843,-0.34981743,853.7448,824.13513,817.55524,853.7448
